Index,filter,VTO_total,JEFF_total,VTO_not_in_JEFF,JEFF_not_in_VTO,VTO_in_JEFF,%_only_in_VTO,%_only_in_JEFF,%_common_vs_VTO,%_common_JEFF
1,jeff_SCI_only1704_rel_over0.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
2,jeff_SCI_only1704_rel_over5.csv,107028,227,106840,42,185,99.82434503,18.50220264,0.172851964,81.49779736
3,jeff_SCI_only1704_rel_over10.csv,107028,131,106912,17,114,99.89161715,12.97709924,0.106514183,87.02290076
4,jeff_SCI_only1704_rel_over15.csv,107028,89,106948,9,80,99.9252532,10.11235955,0.074746795,89.88764045
5,jeff_SCI_only1704_rel_over20.csv,107028,67,106965,4,63,99.9411369,5.970149254,0.058863101,94.02985075
6,jeff_SCI_only1704_rel_over25.csv,107028,53,106979,4,49,99.95421759,7.547169811,0.045782412,92.45283019
7,jeff_SCI_only1704_rel_over30.csv,107028,45,106986,3,42,99.96075793,6.666666667,0.039242067,93.33333333
8,jeff_SCI_only1704_rel_over35.csv,107028,41,106990,3,38,99.96449527,7.317073171,0.035504728,92.68292683
9,jeff_SCI_only1704_rel_over40.csv,107028,36,106995,3,33,99.96916695,8.333333333,0.030833053,91.66666667
10,jeff_SCI_only1704_rel_over45.csv,107028,32,106998,2,30,99.97196995,6.25,0.028030048,93.75
11,jeff_SCI_only1704_rel_over50.csv,107028,30,106999,1,29,99.97290429,3.333333333,0.027095713,96.66666667
12,jeff_SCI_only1704_rel_over55.csv,107028,24,107004,0,24,99.97757596,0,0.022424039,100
13,jeff_SCI_only1704_rel_over60.csv,107028,20,107008,0,20,99.9813133,0,0.018686699,100
14,jeff_SCI_only1704_rel_over65.csv,107028,19,107009,0,19,99.98224764,0,0.017752364,100
15,jeff_SCI_only1704_rel_over70.csv,107028,16,107012,0,16,99.98505064,0,0.014949359,100
16,jeff_SCI_only1704_rel_over75.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
17,jeff_SCI_only1704_rel_over80.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
18,jeff_SCI_only1704_rel_over85.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
19,jeff_SCI_only1704_rel_over90.csv,107028,15,107013,0,15,99.98598498,0,0.014015024,100
20,jeff_SCI_only1704_rel_over95.csv,107028,14,107014,0,14,99.98691931,0,0.013080689,100
21,jeff_SCI_only1704_rel_over100.csv,107028,11,107017,0,11,99.98972232,0,0.010277684,100
22,jeff_SCI_only1704_sal_over0.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
23,jeff_SCI_only1704_sal_over0.5.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
24,jeff_SCI_only1704_sal_over1.0.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
25,jeff_SCI_only1704_sal_over1.5.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
26,jeff_SCI_only1704_sal_over2.0.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
27,jeff_SCI_only1704_sal_over2.5.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
28,jeff_SCI_only1704_sal_over3.0.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
29,jeff_SCI_only1704_sal_over3.5.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
30,jeff_SCI_only1704_sal_over4.0.csv,107028,1218,106560,758,460,99.56273125,62.23316913,0.429794073,37.76683087
31,jeff_SCI_only1704_sal_over4.5.csv,107028,1217,106560,757,460,99.56273125,62.2021364,0.429794073,37.7978636
32,jeff_SCI_only1704_sal_over5.0.csv,107028,1216,106560,756,460,99.56273125,62.17105263,0.429794073,37.82894737
33,jeff_SCI_only1704_sal_over5.5.csv,107028,1215,106560,755,460,99.56273125,62.1399177,0.429794073,37.8600823
34,jeff_SCI_only1704_sal_over6.0.csv,107028,1213,106561,754,459,99.56366558,62.15993405,0.428859738,37.84006595
35,jeff_SCI_only1704_sal_over6.5.csv,107028,1210,106562,752,458,99.56459992,62.14876033,0.427925403,37.85123967
36,jeff_SCI_only1704_sal_over7.0.csv,107028,1190,106563,733,457,99.56553425,61.59663866,0.426991068,38.40336134
37,jeff_SCI_only1704_sal_over7.5.csv,107028,1170,106567,717,453,99.56927159,61.28205128,0.423253728,38.71794872
38,jeff_SCI_only1704_sal_over8.0.csv,107028,1139,106572,691,448,99.57394327,60.66725198,0.418582053,39.33274802
39,jeff_SCI_only1704_sal_over8.5.csv,107028,1099,106588,667,432,99.58889263,60.69153776,0.403632694,39.30846224
40,jeff_SCI_only1704_sal_over9.0.csv,107028,1060,106598,638,422,99.59823598,60.18867925,0.394289345,39.81132075
41,jeff_SCI_only1704_sal_over9.5.csv,107028,988,106621,589,399,99.61972568,59.61538462,0.372799641,40.38461538
42,jeff_SCI_only1704_sal_over10.0.csv,107028,934,106636,550,384,99.6337407,58.88650964,0.358784617,41.11349036
43,jeff_SCI_only1704_sal_over10.5.csv,107028,860,106663,503,357,99.65896775,58.48837209,0.333557574,41.51162791
44,jeff_SCI_only1704_sal_over11.0.csv,107028,792,106688,458,334,99.68232612,57.82828283,0.31206787,42.17171717
45,jeff_SCI_only1704_sal_over11.5.csv,107028,681,106722,381,300,99.71409351,55.94713656,0.280300482,44.05286344
46,jeff_SCI_only1704_sal_over12.0.csv,107028,556,106753,287,269,99.74305789,51.61870504,0.251336099,48.38129496
47,jeff_SCI_only1704_sal_over12.5.csv,107028,461,106788,226,235,99.77575961,49.02386117,0.219568711,50.97613883
48,jeff_SCI_only1704_sal_over13.0.csv,107028,368,106829,173,195,99.81406735,47.01086957,0.182195313,52.98913043
49,jeff_SCI_only1704_sal_over13.5.csv,107028,192,106903,70,122,99.88320813,36.45833333,0.113988863,63.54166667
