source,target,relations,hits,score,score.1
ESOX,LUCIUS,PARENT-CHILD,179.0,11.995000000000001,11.995000000000001
ONCORHYNCHUS,KISUTCH,PARENT-CHILD,138.0,12.52,12.52
ONCORHYNCHUS,MYKISS,PARENT-CHILD,212.0,12.99,12.99
ONCORHYNCHUS,NERKA,PARENT-CHILD,105.0,12.2,12.2
ONCORHYNCHUS,TSHAWYTSCHA,PARENT-CHILD,101.0,12.15,12.15
PERCA,FLUVIATILIS,PARENT-CHILD,230.0,13.66,13.66
RUTILUS,RUTILUS,PARENT-CHILD,199.0,13.94,13.94
SALMO,SALAR,PARENT-CHILD,615.0,13.25,13.25
SALMO,TRUTTA,PARENT-CHILD,695.0,13.36,13.36
SALVELINUS,ALPINUS,PARENT-CHILD,485.0,13.51,13.51
SALVELINUS,FONTINALIS,PARENT-CHILD,163.0,12.33,12.33
