source,target,hits sum,score mean,score median
BROWN_TROUT,SALMO_TRUTTA,191,13.205,13.205
TROUT,TROUT,45,12.605,12.605
RAINBOW_TROUT,ONCORHYNCHUS_MYKISS,37,12.15,12.24
TROUT,SALMO_TRUTTA,36,11.66,11.66
BOW,TROUT,20,12.83,12.83
TROUT,SALVELINUS_NAMAYCUSH,18,11.89,11.89
TROUT,SALVELINUS_CONFLUENTUS,13,11.46,11.46
TROUT,SALVELINUS_FONTINALIS,11,11.23,11.23
RAINBOW_TROUT,SALMO_GAIRDNERI,9,11.775,11.775
BROWN_TROUT,TROUT,8,9.86,9.49
TROUT,BROWN_TROUT,7,10.83,10.83
TROUT,SALMO_MARMORATUS,6,10.42,10.42
SALMO,ONCORHYNCHUS,5,13.32,13.32
BROWN_TROUT,BROWN_TROUT,5,11.88,13.19
STEELHEAD_TROUT,ONCORHYNCHUS_MYKISS,4,10.21,10.21
STEELHEAD,ONCORHYNCHUS_MYKISS,4,11.18,11.18
SALMONIDAE,THYMALLUS,4,13.19,13.19
RAINBOW_TROUT,BROWN_TROUT,4,10.49333333,10.38
SALMONIDAE,SALMONIDAE,3,12.68,12.68
PRE-SMOLT,TROUT,3,12.12,12.12
PARR,TROUT,3,12.06,12.06
TROUT,RAINBOW_TROUT,2,9.475,9.475
THYMALLUS_THYMALLUS,SALMONIDAE,2,13.19,13.19
STEELHEAD,STEELHEAD,2,12.54,12.54
RAINBOW_TROUT,ONCORHYNCHUS,2,9.87,9.87
ONCORHYNCHUS,ONCORHYNCHUS,2,12.29,12.29
KAMCHATKA_STEELHEAD,PARASALMO_MYKISS,2,13.99,13.99
BROWN_TROUT,RAINBOW_TROUT,2,10.57,10.57
TROUT,ONCORHYNCHUS_MYKISS,1,7.49,7.49
TROUT,RAINBOW,1,7.89,7.89
STEELHEAD_TROUT,SALMO_GAIRDNERI,1,11.09,11.09
STEELHEAD_TROUT,SALMO_GAIRDNERII,1,12.41,12.41
STEELHEAD,ONCORHYNCHUS,1,10.75,10.75
STEELHEAD,RAINBOW_TROUT,1,11.41,11.41
SALMONIDAE,COREGONUS_ARTEDI,1,11.54,11.54
SALMONIDAE,COREGONUS_HOYI,1,11.54,11.54
SALMONIDAE,TROUT,1,8.68,8.68
SALMO_TRUTTA,BROWN_TROUT,1,13,13
SALMO_TRUTTA,ONCORHYNCHUS_MYKISS,1,9.35,9.35
REDBAND,RAINBOW_TROUT,1,13,13
RAINBOW_TROUT,RAINBOW_TROUT,1,13,13
RAINBOW_TROUT,TROUT,1,8.57,8.57
ONCORHYNCHUS_MYKISS,BROWN_TROUT,1,11.99,11.99
ONCORHYNCHUS_MYKISS,RAINBOW_TROUT,1,12.68,12.68
ONCORHYNCHUS_MYKISS,SALVELINUS_FONTINALIS,1,11.19,11.19
ONCORHYNCHUS,SALMO,1,12.19,12.19
JUVE,STEELHEAD,1,13,13
INTERACTION,STEELHEAD,1,13.41,13.41
HYPOTHESIS,STEELHEAD,1,13.41,13.41
BROWN_TROUT,SALMO,1,8.13,8.13
BROWN_TROUT,SALMON_TROUT,1,13.41,13.41
BROWN_TROUT,SALMO_SALAR,1,12.41,12.41
BROWN_TROUT,SALVELINUS_CONFLUENTUS,1,12.41,12.41
BROWN_TROUT,SALVELINUS_FONTINALIS,1,12.41,12.41
